node_id	score	type
137	-158.0	volcano
138	-158.0	volcano
33	154.0	black_hole
45	135.0	black_hole
180	-114.0	volcano
87	100.0	normal
179	93.0	normal
55	82.0	normal
20	75.0	normal
141	64.0	normal
41	63.0	normal
106	-61.0	normal
85	58.0	normal
182	-58.0	normal
144	-57.0	normal
171	57.0	normal
198	-57.0	normal
135	55.0	normal
136	53.0	normal
37	-52.0	normal
61	52.0	normal
111	48.0	normal
60	44.0	normal
126	43.0	normal
152	42.0	normal
186	-42.0	normal
81	39.0	normal
50	-37.0	normal
123	37.0	normal
12	36.0	normal
