node_id	score	type
97	-169.0	volcano
74	123.0	black_hole
96	-116.0	volcano
131	95.0	intermediary
64	53.0	normal
113	52.0	normal
193	51.0	normal
38	41.0	normal
159	-40.0	normal
75	32.0	indirect_target
19	-31.0	normal
11	-28.0	normal
18	27.0	intermediary
124	27.0	normal
134	-27.0	normal
151	-26.0	normal
45	-25.0	indirect_source
31	24.0	intermediary
60	-22.0	intermediary
147	-21.0	normal
181	-21.0	normal
206	21.0	normal
5	20.0	normal
189	-20.0	normal
106	19.0	intermediary
110	19.0	indirect_target
44	18.0	normal
98	17.0	normal
118	-16.0	normal
195	16.0	normal
