node_id	score	type
155	193.0	mushroom
73	164.0	mushroom
46	130.0	mushroom
154	42.0	mushroom
189	-34.0	ghost
14	-31.0	ghost
96	-23.0	ghost
52	-17.0	ghost
29	-15.0	ghost
4	-13.0	ghost
0	-4.0	normal
7	-4.0	normal
23	-4.0	normal
36	-4.0	normal
42	-4.0	normal
47	-4.0	normal
51	-4.0	normal
53	-4.0	normal
61	-4.0	normal
62	-4.0	normal
65	-4.0	normal
69	-4.0	normal
71	-4.0	normal
84	-4.0	normal
90	-4.0	normal
94	-4.0	normal
95	-4.0	normal
122	-4.0	normal
126	-4.0	normal
140	-4.0	normal
