node_id,type,degree,indegree,outdegree,degree_centrality,degree_rank
166,normal,33,9,24,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
167,normal,30,15,15,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
168,normal,37,18,19,"{'type': 'normal', 'degree': 0.18592964824120603}",17.0
169,vulcano,16,3,13,"{'type': 'vulcano', 'degree': 0.08040201005025126}",198.0
170,normal,22,14,8,"{'type': 'normal', 'degree': 0.11055276381909548}",178.0
171,normal,33,13,20,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
172,normal,36,21,15,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
173,normal,25,13,12,"{'type': 'normal', 'degree': 0.12562814070351758}",162.0
174,normal,32,14,18,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
175,normal,39,20,19,"{'type': 'normal', 'degree': 0.19597989949748745}",10.0
176,normal,28,16,12,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
177,normal,31,14,17,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
178,normal,27,15,12,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
179,normal,31,17,14,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
180,normal,28,15,13,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
181,normal,33,14,19,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
182,normal,32,17,15,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
183,normal,25,15,10,"{'type': 'normal', 'degree': 0.12562814070351758}",162.0
184,normal,44,22,22,"{'type': 'normal', 'degree': 0.22110552763819097}",1.0
185,normal,35,14,21,"{'type': 'normal', 'degree': 0.17587939698492464}",35.0
186,normal,25,14,11,"{'type': 'normal', 'degree': 0.12562814070351758}",162.0
187,normal,27,12,15,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
188,normal,39,20,19,"{'type': 'normal', 'degree': 0.19597989949748745}",10.0
189,normal,33,21,12,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
190,normal,34,13,21,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
191,normal,28,16,12,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
192,normal,23,14,9,"{'type': 'normal', 'degree': 0.11557788944723618}",174.0
193,normal,30,15,15,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
194,normal,26,17,9,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
195,normal,32,16,16,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
196,normal,26,13,13,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
197,normal,28,14,14,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
198,normal,32,21,11,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
199,normal,37,22,15,"{'type': 'normal', 'degree': 0.18592964824120603}",17.0
