node_id	score	type
118	0.03333333333333333	black_hole
59	0.06666666666666667	volcano
159	0.1	volcano
152	0.13333333333333333	mushroom
97	0.13333333333333333	normal
30	0.16666666666666666	volcano
205	0.16666666666666666	normal
132	0.2	normal
149	0.2	indirect_target
162	0.2	normal
62	0.23333333333333334	intermediary
157	0.23333333333333334	normal
24	0.26666666666666666	normal
104	0.26666666666666666	normal
168	0.26666666666666666	normal
57	0.3	mushroom
23	0.3	normal
102	0.3	normal
70	0.3333333333333333	normal
16	0.3333333333333333	intermediary
7	0.3333333333333333	normal
119	0.36666666666666664	normal
8	0.36666666666666664	normal
101	0.36666666666666664	normal
109	0.4	normal
182	0.4	normal
42	0.43333333333333335	normal
165	0.43333333333333335	normal
134	0.43333333333333335	normal
160	0.43333333333333335	normal
