Measure,g0_g1,g1_g2,g2_g3
degree,0.12405910147753695,0.15756693917347936,0.05206630165754145
strength,0.1482262056551414,0.15663391584789624,0.18718667966699168
betweenness,-0.023400585014625372,0.05091427285682142,0.13414535363384086
closeness,-0.027375684392109807,0.041402535063376586,0.040630015750393766
eigenvector,0.16836870921773048,0.04586064651616291,0.011298282457061428
pagerank,0.1911392784819621,-0.033275331883297087,0.09603990099752495
hits_hubs,0.03200180004500113,0.15155778894472366,0.27196429910747777
hits_authorities,0.14197554938873475,0.12244506112652818,0.09298432460811523
indegree,-0.0063346583664591624,0.11280132003300083,-0.08739668491712294
outdegree,0.2018375459386485,0.2755868896722419,0.24125853146328663
instrength,0.31626190654766373,0.10817970449261233,0.2340583514587865
outstrength,0.25820895522388065,0.19376134403360085,0.5755013875346884
