node_id	score	type
52	150.0	indirect_source
210	-76.0	indirect_source
186	66.0	intermediary
62	-53.0	indirect_source
119	-46.0	intermediary
4	-27.0	intermediary
185	-26.0	intermediary
109	-25.0	intermediary
103	23.0	intermediary
191	-23.0	intermediary
203	19.0	intermediary
178	-18.0	intermediary
125	17.0	intermediary
53	-14.0	indirect_source
137	14.0	intermediary
165	-14.0	intermediary
114	13.0	intermediary
170	11.0	intermediary
118	10.0	intermediary
196	10.0	intermediary
86	7.0	intermediary
131	5.0	intermediary
25	-4.0	indirect_target
58	-4.0	normal
61	-4.0	normal
112	-4.0	normal
136	-4.0	normal
184	4.0	intermediary
93	-3.0	normal
2	-2.0	normal
