Pair of consecutive graphs,Precision@1,Precision@2,Precision@3,Precision@4,Precision@5,Precision@6,Precision@7,Precision@8,Precision@9,Precision@10
g0_g1,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.625,0.5555555555555556,0.5
g1_g2,1.0,1.0,0.6666666666666666,0.75,0.8,0.6666666666666666,0.5714285714285714,0.5,0.4444444444444444,0.4
g2_g3,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5714285714285714,0.5,0.4444444444444444,0.4
