node_id	score	type
16	-34.0	indirect_target
98	34.0	intermediary
150	-33.0	intermediary
165	-32.0	intermediary
200	29.0	intermediary
69	26.0	intermediary
90	-26.0	intermediary
88	-20.0	intermediary
126	-20.0	intermediary
178	-20.0	intermediary
26	-18.0	intermediary
51	15.0	intermediary
209	15.0	intermediary
167	13.0	intermediary
201	11.0	indirect_target
77	-9.0	intermediary
91	-9.0	intermediary
141	8.0	intermediary
97	7.0	indirect_target
161	-7.0	intermediary
7	3.0	normal
19	3.0	normal
58	3.0	normal
94	3.0	normal
130	3.0	intermediary
170	3.0	normal
181	-3.0	normal
194	3.0	normal
6	-2.0	normal
12	-2.0	normal
