node_id	score	type
33	-151.0	black_hole
157	116.0	volcano
10	-109.0	black_hole
96	-85.0	black_hole
137	85.0	volcano
104	72.0	normal
102	67.0	normal
191	-65.0	black_hole
45	-52.0	black_hole
148	49.0	normal
26	46.0	normal
128	-45.0	normal
189	43.0	normal
107	40.0	normal
15	39.0	normal
64	-39.0	normal
138	37.0	volcano
153	36.0	normal
151	-35.0	normal
203	35.0	normal
90	34.0	normal
202	34.0	normal
38	32.0	normal
74	32.0	normal
134	31.0	normal
146	-31.0	normal
177	31.0	normal
8	30.0	normal
24	30.0	normal
91	-29.0	normal
